condom,floor,ascensore,accdisabili,indivsapt,totlocali,camereletto,bagno,status,heating,photosnum,totpiani,price,sqfeet,nroom,fibra_ottica,videocitofono,impianto_di_allarme,reception,porta_blindata,esposizione_esterna,cancello_elettrico,portiere_intera_giornata,balcone,arredato,impianto_tv_centralizzato,armadio_a_muro,portiere_mezza_giornata,caminetto,esposizione_interna,mansarda,parzialmente_arredato,taverna,idromassaggio,terrazza,esposizione_doppia,giardino_comune,giardino_privato
110,1 piano,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a metano",10,5 piani,1000,51,2,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no
100,1 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a gas",9,1 piano,1100,65,2,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no
150,2 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Buono / Abitabile,"Autonomo, a radiatori, alimentato a metano",20,3 piani,1850,95,3,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no
100,3 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a gas",10,5 piani,1050,50,2,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no
200,4 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",14,6 piani,1500,70,2,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no
291,da interrato a 2,con ascensore,con accesso disabili,Appartamento,Trilocale,2 camere da letto,2 bagni,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a gas",20,6 piani,2250,133,3,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no
300,1 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",15,5 piani,1500,80,3,yes,yes,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
140,3 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,11 piani,1200,50,2,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
40,Piano terra,con ascensore,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a pavimento",13,5 piani,810,38,1,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
150,3 piano,con ascensore,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a metano",10,8 piani,900,45,1,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
284,3 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a gas",19,5 piani,2000,85,3,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no
60,Piano terra,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",19,1 piano,1200,55,2,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes
1,2 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Buono / Abitabile,"Centralizzato, ad aria, alimentato a metano",20,5 piani,1200,55,2,yes,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no
120,3 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,Centralizzato,10,4 piani,860,45,2,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no
350,4 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a gas",20,5 piani,2200,110,3,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
100,1 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a gas",20,4 piani,1700,97,2,yes,yes,no,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no
250,2 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Nuovo / In costruzione,"Centralizzato, a pavimento, alimentato a pompa di calore",18,5 piani,2700,56,2,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no
183,4 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,6 piani,1700,86,3,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no
250,1 piano,con ascensore,no,Appartamento,Trilocale,1 camera da letto,1 bagno,Da ristrutturare,"Centralizzato, a radiatori",14,4 piani,2500,85,3,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no
250,2 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Nuovo / In costruzione,"Autonomo, a pavimento, alimentato a pompa di calore",17,4 piani,2750,55,2,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no
100,Piano terra,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",12,4 piani,900,55,2,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no
183,Piano rialzato,con ascensore,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",14,6 piani,1350,80,3,yes,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no
200,5 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",10,7 piani,958,50,2,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no
50,Piano rialzato,no,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Buono / Abitabile,"Autonomo, a radiatori, alimentato a metano",15,3 piani,650,36,1,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no
200,2 piano,con ascensore,con accesso disabili,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,Centralizzato,20,4 piani,1200,65,2,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no
366,5 piano,con ascensore,con accesso disabili,Appartamento,Quadrilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, ad aria, alimentato a gas",12,6 piani,3666,120,4,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no
450,5 piano,con ascensore,no,Appartamento,Quadrilocale,3 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori",20,6 piani,3500,180,4,no,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no
150,Piano rialzato,con ascensore,con accesso disabili,Appartamento,Monolocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, ad aria, alimentato a pompa di calore",19,4 piani,1100,37,1,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
180,5 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",17,7 piani,1200,90,2,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no
130,1 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",20,4 piani,1100,60,2,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
120,3 piano,no,no,Appartamento,Bilocale,1 camera da letto,NA,Ottimo / Ristrutturato,NA,12,5 piani,1550,45,2,no,yes,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
